,grade,credit,weight
174,D,21,58.35176024870614
175,C,18,68.48105610748219
176,C,17,79.74412767885681
177,A,19,68.63273425067673
178,B,18,63.1440305163445
179,A,18,72.89525375155483
180,C,16,79.71540919383864
181,D,18,67.85828557838175
182,A,16,65.93540903537965
183,B,17,71.87115632351929
184,F,15,64.52787407766056
185,D,17,70.60241376389483
186,F,21,63.168843017697185
187,C,18,61.93496040023485
188,F,19,61.00081781901879
189,B,16,57.35283336204479
190,B,15,71.10129643870953
191,B,16,76.60595824952532
192,D,18,79.2292375656261
193,C,19,65.76204859503613
194,D,16,66.24635401229526
195,B,19,45.434572520733795
196,D,17,69.47550330455421
197,D,15,56.61402844971377
198,B,17,63.92595813977882
199,A,18,59.10160757631326
200,A,20,71.67082381288608
201,D,19,65.41745244064815
202,D,16,66.33800401328516
203,C,19,77.76576887550999
204,A,18,51.89567062212738
205,A,20,63.3636420548221
206,C,17,58.42026237572212
207,B,16,75.16497548368135
208,D,18,48.749743558397945
209,C,16,69.64612334923623
210,C,16,68.15167536207494
211,A,19,65.99956571071219
212,D,19,86.32401251074175
213,C,19,75.45244849418566
214,A,19,76.6433448052066
215,C,17,50.32210777787725
216,B,18,54.24323355754801
217,A,20,71.70352189722493
218,F,21,67.49997913352871
219,D,21,68.60385340973328
220,C,21,70.67738776737903
221,F,20,75.49187018661266
222,A,15,65.78299648282055
223,C,20,69.72062277312307
224,F,17,75.80760713637767
225,A,17,62.790978313758686
226,C,17,67.53063541956435
227,B,17,71.79171550038872
228,A,18,54.71369418902461
229,C,19,58.18674514224214
230,A,18,76.14216058628003
231,F,18,66.33280178365868
232,B,18,68.68456579439186
233,F,18,83.59371531670631
234,D,16,59.247966896685774
235,C,22,58.34897760643318
236,F,16,74.35799446115911
237,C,18,78.82513106909522
238,B,16,73.70152320672508
239,B,16,72.50898400354556
240,C,19,80.0513936483245
241,A,15,88.15190534917032
242,B,17,71.19324425095355
243,A,17,67.18899403375684
244,A,17,59.20010981657335
245,D,17,68.59506788111388
246,B,19,70.97898203597424
247,D,18,59.07088895851139
248,D,18,75.78864175927461
249,F,20,79.19003489504678
250,C,18,80.46100871094794
251,D,16,73.6544074715404
252,C,17,58.25777469555145
253,D,21,63.398995282055154
254,C,17,65.96242854931378
255,F,17,67.68600613279328
256,B,20,63.034087063017296
257,D,20,54.340504031622885
258,A,21,71.31110463335061
259,F,22,62.711615316170075
260,C,20,68.77865781705673
261,D,17,51.10838164632827
262,F,18,55.0789947480446
263,F,17,61.50451815204183
264,A,19,70.45990143937817
265,D,15,64.94125582135699
266,D,17,52.874116730242406
267,B,18,71.76535303444118
268,C,17,80.87882976695732
269,C,18,65.01334738714364
270,C,20,74.39277498123357
271,D,19,62.478285927000606
272,D,17,84.65507646009702
273,F,18,69.69246189411228
274,C,20,66.13026557244179
275,C,16,64.88021705035484
276,C,16,69.60516033072648
277,D,15,75.00015345622745
278,D,18,77.8070257580751
279,B,18,72.69320245734463
280,F,18,64.33475726503013
281,A,17,55.06644526405064
282,F,18,61.95489692205511
283,A,18,61.048955882715134
284,F,21,61.376245938341036
285,F,15,59.81574536609259
286,D,19,65.6608158127406
287,C,19,76.83888751286007
288,B,16,75.25912373541536
289,B,16,66.45036771687082
290,D,16,72.50544678319706
291,B,19,84.01011632854663
292,B,17,72.31867695147861
293,B,18,72.54285159064018
294,D,19,74.5407770367381
295,F,18,64.5753647257347
296,F,19,67.54520458170866
297,D,16,70.1902494249987
298,C,16,62.90199536806358
299,F,18,81.05596540582094
300,A,16,75.90104533924429
301,A,15,59.15126030262136
302,F,17,71.03444118745347
303,A,17,64.69060692644098
304,B,16,78.74376520408235
305,B,18,67.06022519106877
306,B,16,77.75079732062628
307,F,22,73.37375718718904
308,C,19,75.42079722398056
309,F,17,75.72491241318596
310,C,20,75.1747403561745
311,D,21,59.909130221612074
312,A,18,72.02289810311355
313,A,17,70.86770861264698
314,D,17,55.68170920988217
315,F,19,51.39583023490586
316,F,18,74.71630264085955
317,D,20,82.72115934732564
318,F,18,56.32424174855999
319,B,16,70.13470934019888
320,A,18,70.97358093371574
321,B,16,65.50448574680523
322,D,18,66.73260192098967
323,A,18,52.600521033144
324,B,18,63.53715890407941
325,A,16,61.60850859841253
326,B,19,65.90047423776777
327,A,18,72.29951560900449
328,C,18,68.63259581980532
329,B,15,73.15475675441769
330,A,18,61.25632582869509
331,D,15,71.4652292241662
332,F,17,61.40098516115542
333,A,17,72.76397144725586
334,B,16,74.29567949534939
335,A,18,61.47829927752649
336,F,21,76.98271538369522
337,A,15,63.89157947029849
338,A,16,65.26154755032309
339,B,18,57.40958299863129
340,A,17,69.18391113296326
341,F,17,73.65261854061934
342,C,19,71.70978368267662
343,C,17,71.49673812411025
344,F,18,69.82882568801008
345,A,17,64.54674649646071
346,D,15,78.91549064758976
347,C,16,72.24388869190051
348,B,20,72.71157789957715
349,F,17,65.89638657457367
350,B,19,66.33848254706028
351,D,19,61.261566961960085
352,D,18,60.095147137253065
353,B,21,73.02867638629336
354,C,16,78.0979175202666
355,F,15,82.99239916920824
356,D,18,59.948625005713524
357,F,16,73.0274404084319
358,C,18,69.70024292203502
359,F,17,58.37758060699251
360,C,19,68.70082821564554
361,C,16,73.84652429881308
362,A,20,62.006911610388734
363,A,17,68.9324440944523
364,F,16,58.33413258867502
365,F,18,65.5328045882011
366,F,14,64.08988378873639
367,F,15,75.82073937072606
368,A,17,72.6658827548303
369,D,19,70.30812530196745
370,B,19,70.83398472015945
371,B,15,75.24890382055204
372,A,20,68.43956449937023
373,F,18,62.4643723915078
374,D,17,70.97837195107465
375,A,16,71.87418515932265
376,A,16,49.74763378030612
377,C,17,51.09667440216913
378,B,19,63.507139272751026
379,D,18,59.77414255224194
380,F,15,92.2110439695391
381,A,19,62.85342350987047
382,A,16,62.80931323722647
383,F,17,69.29014238244811
384,D,17,69.92248123778252
385,C,18,72.96255782938486
386,D,16,70.997641542188
387,A,19,72.54459703867528
388,C,19,65.45124342877068
389,A,18,65.71174758530206
390,B,19,65.90722562169437
391,B,18,53.54599322122379
392,B,20,63.20709954285142
393,D,16,56.01846050481147
394,B,16,68.61125381046679
395,C,16,57.355741169018
396,D,19,75.07494050515166
397,C,17,90.9808861178863
398,C,17,53.566564583971825
399,A,19,52.91452033275217
400,B,18,57.11302561150249
401,F,16,87.6799040807962
402,B,20,86.14828878486648
403,C,19,51.75726587074327
404,D,18,72.43635341863124
405,F,18,75.20690903791956
406,B,15,62.00929657460356
407,A,18,64.58973618251936
408,A,18,74.0636215975937
409,B,18,64.31182023447312
410,F,16,62.70692637314087
411,B,20,62.3105511445742
412,F,20,68.3082698061283
413,A,17,83.94402408407369
414,B,19,57.807003427491985
415,F,17,71.15474067203944
416,D,20,62.43696526526047
417,F,17,70.60693171735129
418,D,19,76.34241661902873
419,A,15,75.39178842108177
420,C,18,57.88975434764956
421,F,19,84.75320490019332
422,F,19,72.87157609069696
423,D,19,77.83433499150257
424,A,16,72.24453722677784
425,D,19,68.38981925234226
426,C,18,71.95016696863499
427,B,18,81.13653110767245
428,C,18,65.07900501950773
429,D,18,64.82792444602376
430,A,19,69.89732240020186
431,D,16,59.487734166973496
432,C,18,77.54769905144768
433,C,18,60.16497844220412
434,F,17,63.86423801221609
435,A,20,70.4266331465399
436,C,21,70.48035391696413
437,A,19,61.86880774258809
438,B,21,76.25818416946072
439,F,18,64.12976497330074
440,D,17,69.19267156783538
441,A,17,68.29217135442664
442,F,19,72.49432286907157
443,D,18,65.8762040238266
444,D,17,66.48325434645974
445,C,18,71.18256030559803
446,A,18,55.0315255767041
447,C,15,75.88723186048685
448,B,19,64.6232400619324
449,D,21,63.806238159956656
450,D,19,58.11674351407705
451,C,18,74.01421262926006
452,F,17,79.62179159487671
453,B,17,72.46896425887394
454,F,19,64.21389136670136
455,A,18,67.89687032462551
456,B,16,63.23066645652394
457,F,17,73.84458629519182
458,C,17,83.55473474203734
459,A,17,67.00630342022002
460,D,17,80.81168043715738
461,A,20,67.08731176100129
462,C,17,55.15727662610455
463,B,19,70.0282729803189
464,F,20,67.96962223859785
465,A,19,55.85347056728511
466,C,19,63.81738105729817
467,C,17,71.49397358603358
468,A,15,69.53638857034008
469,F,17,78.47230735763998
470,A,17,67.42567423103745
471,B,15,62.128967753455235
472,B,17,67.02257660258833
473,B,17,68.08860060983032
474,B,17,57.69277816422233
475,F,16,63.15386130269667
476,F,18,62.88054079477988
477,F,17,67.28521930134202
478,C,18,64.52744480036485
479,C,15,52.917592904043275
480,D,19,69.22488703864657
481,F,17,64.88890019431854
482,A,18,63.62579412010611
483,B,15,65.17468102235937
484,C,18,65.14283819096936
485,C,16,66.38298702749279
486,B,18,87.29688931683818
487,A,17,54.21347705721425
488,F,18,69.32945259414984
489,D,19,62.241689630334676
490,F,15,58.45689788972388
491,B,18,67.92375235535721
492,C,16,61.72327263852845
493,F,15,70.9133123303439
494,D,18,70.27529479546192
495,F,18,74.05462986022103
496,B,19,58.64175141423726
497,A,21,71.3644670373393
498,C,17,53.1099632904749
499,A,19,70.89000138181777
500,D,17,60.067526925921086
501,F,17,77.70342467403742
502,A,18,63.32279817200765
503,D,18,63.12301661562252
504,A,16,73.71428260424105
505,C,17,79.06513583700728
506,F,15,69.5893405367299
507,B,17,65.40348871622858
508,B,14,79.44990381788557
509,F,16,71.02989114901897
510,C,18,62.63341149355446
511,D,19,74.73012069506352
512,D,18,56.42769922890609
513,F,16,68.83977692421814
514,D,15,64.07572497582751
515,B,17,84.52964058332535
516,F,17,59.62119322066734
517,A,18,64.73728307704685
518,B,16,77.83962849424849
519,B,20,66.32788306161551
520,D,18,53.98046675248555
521,C,18,72.33364254500371
522,C,21,68.96066435080414
523,C,17,69.44025762327706
524,F,16,81.93284574750773
525,A,15,69.01734945557128
526,C,16,71.13083583004546
527,D,19,53.1432221475722
528,B,20,70.78779378387193
529,F,18,60.75036665346975
530,C,16,76.37742080034461
531,B,19,62.074443246050095
532,C,19,67.99561502806472
533,D,17,62.00972414576526
534,F,16,75.48495236826612
535,D,19,64.19492825812429
536,F,16,63.955278600037076
537,A,18,81.5235473163129
538,C,17,46.754869800370614
539,F,18,61.93479219776503
540,C,18,63.98621824564477
541,F,18,67.20177448262777
542,C,16,76.33897719441312
543,A,15,69.47813042389909
544,A,17,68.41302371722584
545,B,14,67.18039615848136
546,A,17,59.49391486702254
547,D,16,77.17547289295263
548,F,15,71.3158361903136
549,A,20,80.23514483989561
550,A,15,70.65800703025481
551,D,17,60.8126396339107
552,F,16,57.05927044577686
553,D,18,75.64188401358984
554,A,16,75.8353521963383
555,B,18,59.641188976489104
556,B,21,64.6817866494824
557,B,18,63.11324476423937
558,A,19,66.66651664801455
559,C,15,66.17427736635366
560,C,16,64.58519974790623
561,A,16,56.307269450789775
562,C,16,69.50086666752398
563,A,18,88.47901877222759
564,C,16,58.32219470608498
565,D,17,79.07225975531749
566,D,17,63.04579969795125
567,C,20,69.81995598473014
568,D,17,69.89043678770118
569,A,16,72.02999824948125
570,C,16,63.834647096739616
571,B,18,66.04009634114699
572,F,17,57.70856370889946
573,D,20,64.93139086593378
574,D,20,57.17523715659689
575,D,17,73.73329852829333
576,A,18,73.2760580779904
577,B,17,70.10604121141822
578,F,18,84.05053798272911
579,C,17,93.06984720216309
580,B,18,69.99899938713743
581,D,18,66.1789319318378
582,B,14,71.03707456085547
583,B,18,58.792233369088805
584,A,18,77.45173291694819
585,B,18,65.12271450985924
586,B,17,67.5171138866177
587,F,18,78.79421888275428
588,F,14,83.55014923064807
589,F,18,73.36623050551256
590,A,16,72.79380898728583
591,F,20,73.60635216611118
592,A,15,61.44286653805408
593,D,19,82.65686154016166
594,B,17,73.16485467314303
595,F,18,64.03558112367136
596,B,19,76.71684500892026
597,C,17,83.32230033939774
598,C,15,71.37156798668147
599,A,21,75.05195562764857
600,D,19,73.07254696837742
601,C,17,73.62952737357614
602,D,18,64.4200470837645
603,C,19,60.6277283836673
604,B,19,58.031326592700495
605,C,15,73.89419716173434
606,B,18,67.99113257064012
607,D,17,61.278294745020695
608,A,17,80.88243966723077
609,F,18,68.29159540408061
610,B,19,71.27844474070363
611,B,19,76.33901276229356
612,D,17,61.49838937574772
613,A,14,64.49806403897553
614,B,18,83.99727856452643
615,C,17,66.3765361845612
616,F,19,67.09475422099631
617,D,18,74.43716633216084
618,A,16,69.31633004739291
619,F,14,62.639441028819746
620,A,20,82.5895815018637
621,B,19,69.1077787572323
622,D,17,80.32748432168773
623,C,19,78.40180803847556
624,B,16,68.75303227860022
625,B,15,72.16458575257138
626,F,16,76.11535544552578
627,C,20,68.282736819813
628,B,15,69.99745483225986
629,F,19,70.90952508700963
630,F,18,67.01774068555461
631,C,17,85.23503717597087
632,D,21,75.2977367338572
633,A,17,77.83465546142709
634,C,15,51.98757026797628
635,B,19,57.114599263122415
636,D,17,70.95673847494497
637,B,17,73.76851895855087
638,A,16,73.52352231397899
639,F,17,52.34890839790824
640,D,18,72.03792497276184
641,C,18,73.25685325714367
642,D,15,66.78273426571216
643,C,20,76.20464896316089
644,F,19,64.74144715864682
645,A,16,63.09359231676541
646,C,15,74.65245882025633
647,D,17,62.953054292128726
648,A,16,64.81873020524452
649,A,16,72.65947153047752
650,C,16,63.0643210507085
651,A,18,72.12836684793236
652,F,17,77.90544559334606
653,D,19,65.51248535418549
654,A,16,55.435326951231644
655,D,16,72.54861632945101
656,D,16,74.81436995473274
657,B,18,54.21467378606738
658,D,20,61.085185903328124
659,C,17,69.08532402949929
660,A,19,75.1195804922023
661,A,18,68.49857011444347
662,D,15,77.69979592216612
663,F,19,62.750808706265175
664,B,17,80.93798535076144
665,A,17,65.90370071289281
666,D,19,75.26837410387536
667,B,16,58.76964321219534
668,B,19,75.29805095913247
669,A,19,61.79594677736864
670,D,17,59.58782451320718
671,D,17,68.08950503540763
672,D,18,64.95303662591435
673,D,18,63.8871529687539
674,F,16,70.99164830391057
675,D,17,69.17515305850257
676,A,16,72.7950844077768
677,F,17,66.64421881175925
678,A,18,83.73621594670279
679,D,17,53.20489810677336
680,F,20,67.4289090367648
681,C,17,48.73126002527293
682,C,19,68.4779758185687
683,F,17,71.17488310698202
684,F,16,80.26709607324645
685,B,17,48.31854736499263
686,C,17,65.94656428378701
687,A,19,75.88197404446203
688,B,20,66.91887236065436
689,B,18,67.4829805348764
690,D,19,80.57752035955619
691,F,17,63.466994547437174
692,F,19,70.95755495597083
693,A,16,82.12131436992587
694,D,15,62.44441302947966
695,D,15,64.07593580897286
696,D,18,64.85258469462379
697,F,16,65.5469652807875
698,B,15,74.7669344021326
699,A,16,69.49753550061006
700,A,16,71.38305695832332
701,D,16,74.95702671909615
702,D,18,47.719946791110104
703,D,17,74.09706955327846
704,B,16,66.57473233399048
705,C,17,71.67884455707372
706,C,18,76.28826296349882
707,D,15,70.8454130240651
708,A,17,65.55063439950075
709,F,17,67.09974357040383
710,A,16,66.24195693028653
711,F,18,58.20202459192846
712,C,18,76.50907196286379
713,B,16,69.58824000310369
714,B,16,78.29157021136481
715,F,16,60.15059682248242
716,C,16,67.47460159404646
717,C,18,68.01484777952814
718,A,18,57.697293966691944
719,D,17,65.9358020180867
720,A,18,73.47797553785838
721,A,18,63.139096576883375
722,D,20,72.0248893464354
723,A,17,66.83838519393845
724,D,20,82.45244573281552
725,B,19,71.805072136527
726,C,18,55.56719941512227
727,A,18,71.72471813289965
728,F,16,72.22083981127238
729,B,18,55.9141149829969
730,C,15,72.57042606010246
731,F,14,58.079684068306
732,B,18,69.9697336718761
733,F,18,61.5087860769185
734,C,18,58.617206014188326
735,B,16,79.15820670537158
736,B,19,66.1617924982445
737,B,17,77.3973672889839
738,B,20,66.54851665362008
739,F,17,56.18691587659277
740,D,17,52.45912799614775
741,A,16,66.09301961208966
742,B,19,62.15754769389835
743,A,18,65.26075849981986
744,C,17,59.821631693224404
745,A,19,70.15730960205153
746,A,15,72.062589550168
747,C,18,62.34183716194693
748,C,17,69.53789835740946
749,F,18,62.618224911868346
750,F,18,53.84393500647051
751,F,19,59.92306105268121
752,F,18,72.24629774275901
753,D,14,59.53539441012765
754,F,17,67.80330044130872
755,A,18,79.7902644695345
756,C,14,65.83004078845052
757,F,16,71.1939967614406
758,A,18,84.02032949495009
759,B,16,63.879943850066454
760,B,17,74.53028120953117
761,A,18,74.99926440755294
762,F,16,66.34925573703259
763,B,17,68.72696564979377
764,F,18,70.74937701409587
765,F,18,66.85344007627549
766,A,16,71.65186505316898
767,A,15,72.89430357055019
768,F,15,73.11350388448831
769,A,18,67.68636122313633
770,D,17,64.20616426001632
771,C,17,64.26038242379578
772,F,17,74.03143375686506
773,B,16,64.38592097013503
774,F,20,64.1001030407804
775,F,16,83.2627516883973
776,A,20,70.18626208888514
777,C,17,78.54220142816261
778,B,19,63.57834540635792
779,D,16,66.1861606703075
780,B,18,61.54389631051857
781,D,17,57.23285269403026
782,F,16,68.51048803775198
783,B,17,54.695825917989346
784,C,16,80.45644779563322
785,C,16,80.31213154220706
786,B,16,66.90962438118301
787,D,18,72.46254957791832
788,A,17,64.71254661600005
789,D,18,71.30848148890033
790,B,19,60.16324887502388
791,A,20,64.39469667981605
792,B,16,64.20031103369483
793,D,17,71.99479875667139
794,D,18,57.974384703477
795,D,16,69.4569049562095
796,A,16,73.13732652456767
797,B,20,60.657272983079594
798,D,15,56.635022002451585
799,F,20,69.46101621950434
800,D,18,81.92890807542196
801,A,19,72.44975540631994
802,C,14,69.17061323935594
803,A,21,65.51915489979656
804,D,19,71.83024451445415
805,D,17,69.51226906412249
806,D,18,56.46361577256186
807,D,15,76.32764236049879
808,A,16,56.17298272932737
809,A,16,67.19707107504301
810,C,17,62.082376615400136
811,F,16,67.32821172580506
812,D,16,77.95605611441466
813,F,18,70.45200723028266
814,F,18,68.97120532287828
815,A,16,79.89280555949703
816,A,17,64.4833754500596
817,B,16,74.17123914288591
818,C,16,74.32910073110642
819,B,19,63.77845158451862
820,B,19,58.053260123870324
821,C,16,73.47982188673242
822,F,20,75.03015490029122
823,C,15,65.686175809836
824,A,14,55.260353812852244
825,B,15,64.47353065691252
826,C,19,63.09640049337774
827,D,17,68.41285833946847
828,C,17,75.71460071479876
829,D,17,62.10837845058825
830,F,19,65.21550648762991
831,F,17,68.78511793513353
832,F,16,71.2515891998769
833,F,15,57.69784865332866
834,A,16,68.05077625560715
835,D,19,87.75274928305923
836,A,17,65.83965344218518
837,B,17,57.260639281813106
838,F,16,60.766546353621166
839,B,19,65.09560665381052
840,F,21,62.99901594857321
841,A,17,72.97699763616086
842,D,16,71.67572721703714
843,D,18,67.66939885154181
844,F,19,75.25072350025336
845,B,19,72.03530754865285
846,D,17,67.51738596573752
847,D,18,57.377386132522915
848,F,17,73.15985620787225
849,D,19,55.56509831449547
850,F,16,67.89243523359445
851,D,19,73.36972212877028
852,A,19,65.98527516107285
853,D,15,68.63744104604349
854,C,18,57.20415304132276
855,B,17,62.051525732102704
856,C,16,71.10660170563915
857,D,20,63.42907904165002
858,C,21,64.62511462382267
859,D,18,76.93349768179493
860,F,16,69.84433745635911
861,F,16,86.07904287101279
862,B,16,68.93134350587019
863,A,17,69.38016915935972
864,F,18,68.91386070256644
865,C,21,67.07971667402042
866,F,21,63.27919210880011
867,F,15,65.2138010325266
868,B,18,67.78813588110252
869,F,19,81.96616655832408
870,C,15,64.56530205321157
871,A,17,62.86152375477442
872,C,19,70.92455926528986
873,D,19,70.32356044521414
874,F,17,79.20890451890673
875,A,17,56.5472667491494
876,A,20,61.38086783404143
877,F,17,70.3366668536502
878,A,16,75.58759936240752
879,F,15,67.70941405016737
880,D,18,62.2255259243267
881,C,17,62.948835105866216
882,C,18,63.88887893848401
883,D,18,71.31384743621162
884,F,17,61.908692159739424
885,A,21,66.44651054200982
886,B,16,70.51786305230893
887,D,18,68.74806360300543
888,B,20,70.33093230617226
889,F,17,68.5380133990709
890,A,16,75.69554114918309
891,B,17,73.36234422125688
892,D,17,84.29028925995124
893,D,17,81.12540458690346
894,D,19,57.97951892359676
895,D,15,58.3346759218677
896,B,17,64.90090091738583
897,B,17,58.06198543766926
898,B,18,62.65272564375992
899,C,17,47.91614023566352
900,C,18,70.5970077473672
901,F,19,71.66269132817132
902,F,20,74.1792286778369
903,C,19,69.93593175505536
904,B,17,65.90910380410581
905,B,16,85.76817542076483
906,D,18,73.2313253174581
907,D,15,73.35867489711862
908,F,16,80.2782032296091
909,B,17,64.06489033904161
910,D,18,69.06626336742458
911,B,18,73.61775870979693
912,F,19,68.54607958161407
913,D,17,65.811684096583
914,B,18,71.20374911686619
915,D,18,53.996556049981756
916,A,17,73.47180662685096
917,C,22,60.573613895716036
918,F,17,63.99593547689573
919,C,20,60.65061174214487
920,D,18,72.26461747231644
921,F,17,57.01202374845488
922,C,19,77.31240944976726
923,F,18,82.3082429003455
924,F,17,64.80076027297906
925,F,19,87.81791667752906
926,B,18,80.3982890234278
927,C,16,71.97487600844245
928,A,19,71.54384380556722
929,F,17,84.29206398849377
930,B,17,67.81508393677183
931,D,16,82.26277451946116
932,C,16,67.28192586688084
933,B,17,63.35300464275896
934,F,18,80.34879632042485
935,A,19,69.22697273324962
936,D,18,75.41648877000266
937,F,17,52.082592261552804
938,F,20,62.02538424828369
939,B,18,67.03621147217393
940,A,14,79.57494608866396
941,B,16,84.27920202236903
942,C,18,66.22145543670722
943,C,16,67.98243577796791
944,D,18,66.57565051039964
945,F,16,64.78064524100839
946,C,16,50.40428557680434
947,A,18,61.689895708172365
948,D,16,58.24123840700838
949,A,19,69.08737386777946
950,B,18,86.53250367422012
951,A,15,55.4030695149379
952,B,19,73.30393946432389
953,A,17,62.54223473799551
954,F,16,59.49197471190532
955,C,18,73.23132156321333
956,F,17,73.9808872456928
957,F,18,73.7598265254047
958,B,17,74.93274238753676
959,C,16,62.193679823437506
960,C,15,64.83321096063848
961,C,19,64.02528231057266
962,D,17,68.03531536799932
963,F,15,45.36848784081064
964,C,17,58.90782210282188
965,F,15,65.2854589416332
966,B,19,55.2981411334992
967,C,19,61.79351190386993
968,F,17,73.50624143850074
969,C,17,62.259460165003695
970,B,17,77.39260709092761
971,A,14,68.4707109095633
972,F,19,60.949382312005696
973,A,18,80.27501740876406
974,D,19,84.87241561028978
975,B,17,59.441783759622744
976,F,16,66.07414264078294
977,B,18,69.19642540325816
978,A,17,76.1088223428421
979,B,18,61.421567269519684
980,F,15,69.75453120542387
981,C,18,66.34505507685833
982,C,16,76.36176972379467
983,F,13,55.22780039339832
984,F,16,60.407079857073704
985,B,15,60.250379553847694
986,B,20,68.1787173903636
987,B,18,63.32767421537258
988,A,17,66.17963973614268
989,A,17,80.5922386305224
990,D,17,57.09949904318879
991,B,17,73.77453820424725
992,D,20,73.4364689620738
993,A,19,72.60900479711142
994,A,17,73.36906643670369
995,A,16,66.92333424197739
996,A,20,70.65261265439088
997,B,20,59.91836144440883
998,C,17,72.16516205056041
